38.0 36.23 34.66 33.31 32.18 31.27 30.56 30.04 29.69 29.49 29.42 29.41	15.0 13.37 11.67 9.93 8.16 6.47 4.89 3.44 2.15 1.04 0.13 0.0	13.06 13.57 13.94 14.19 13.52 12.65 11.58 10.29 8.88 7.25 5.44	1.375	0
26.0 23.78 21.84 20.17 18.78 17.68 16.87 16.35 16.11 16.05	19.0 16.56 14.43 12.26 9.98 7.65 5.31 2.99 0.91 0.0	19.5 17.02 17.38 18.21 18.63 18.74 18.59 16.64 13.62	1.125	0
33.0 32.82 32.77	2.0 0.87 0.0	9.08 7.28	0.25	0
29.0 26.3 23.94 21.88 20.1 18.6 17.39 16.48 15.86 15.53 15.43	23.0 20.17 17.6 15.33 13.16 10.86 8.5 6.12 3.75 1.55 0.0	22.63 20.53 18.17 17.37 18.39 18.85 19.04 18.97 17.59 14.88	1.25	0
44.0 41.14 38.58 36.31 34.32 32.56 31.02 29.71 28.62 27.75 27.08 26.6 26.28 26.11 26.06	24.0 21.71 19.3 16.99 14.93 13.18 11.39 9.57 7.81 6.14 4.58 3.16 1.91 0.85 0.0	18.34 19.25 18.48 16.44 14.01 14.35 14.58 14.07 13.36 12.45 11.33 10.0 8.46 6.76	1.75	0
28.0 27.35 26.88 26.58 26.42 26.37	6.0 4.45 3.05 1.82 0.78 0.0	12.37 11.23 9.88 8.33 6.64	0.625	0
33.0 31.01 29.26 27.74 26.45 25.39 24.54 23.89 23.44 23.18 23.1	17.0 14.88 13.06 11.21 9.39 7.64 5.98 4.37 2.8 1.32 0.0	16.95 14.58 14.78 14.54 14.01 13.28 12.87 12.54 11.84 10.71	1.25	0
47.0 44.74 42.7 40.87 39.23 37.78 36.53 35.49 34.66 34.03 33.58 33.3 33.17 33.14	19.0 17.2 15.38 13.88 12.38 10.8 9.16 7.47 5.82 4.29 2.87 1.6 0.53 0.0	14.39 14.56 11.98 12.01 12.65 13.13 13.49 13.2 12.25 11.38 10.17 8.57 6.65	1.625	0
30.0 29.93 29.92	1.0 0.1 0.0	7.22 5.4	0.25	0
38.0 36.35 34.91 33.68 32.67 31.87 31.27 30.85 30.59 30.46 30.43	14.0 12.37 10.68 8.94 7.21 5.58 4.07 2.71 1.51 0.5 0.0	13.06 13.53 13.89 13.85 13.06 12.09 10.9 9.63 8.1 6.32	1.25	0
38.0 36.0 34.23 32.68 31.35 30.24 29.35 28.66 28.16 27.83 27.64 27.58 27.58	17.0 14.98 13.28 11.53 9.74 7.97 6.29 4.72 3.29 2.02 0.94 0.07 0.0	16.13 13.62 14.03 14.33 14.13 13.44 12.54 11.45 10.14 8.61 6.96 5.21	1.5	0
30.0 28.86 27.94 27.22 26.69 26.33 26.12 26.04 26.03	10.0 8.22 6.53 4.94 3.49 2.2 1.09 0.19 0.0	14.22 13.55 12.69 11.62 10.34 8.86 7.18 5.44	1.0	0
42.0 39.4 37.09 35.06 33.27 31.7 30.36 29.24 28.34 27.64 27.13 26.79 26.6 26.53 26.52	22.0 19.63 17.3 15.21 13.44 11.66 9.85 8.08 6.39 4.81 3.37 2.09 1.0 0.12 0.0	18.93 18.64 16.68 14.19 14.23 14.49 14.17 13.49 12.61 11.52 10.22 8.71 7.03 5.3	1.75	0
40.0 37.77 35.8 34.06 32.54 31.24 30.16 29.3 28.64 28.16 27.85 27.68 27.63	19.0 16.75 14.77 13.06 11.3 9.51 7.75 6.08 4.53 3.12 1.88 0.83 0.0	17.99 15.85 13.67 14.07 14.35 14.05 13.33 12.42 11.29 9.96 8.42 6.77	1.5	0
37.0 35.85 34.92 34.19 33.65 33.29 33.09 33.02 33.01	10.0 8.33 6.63 5.04 3.56 2.21 1.04 0.09 0.0	13.36 13.59 12.75 11.83 10.8 9.39 7.62 5.62	1.0	0
46.0 45.08 44.33 43.77 43.42 43.27 43.24	8.0 6.72 5.29 3.71 1.95 0.45 0.0	10.26 11.42 12.64 14.07 11.99 8.35	0.75	0
47.0 44.37 42.0 39.89 38.02 36.36 34.91 33.67 32.65 31.84 31.23 30.8 30.53 30.4 30.37	22.0 20.03 17.9 15.85 14.11 12.48 10.79 9.05 7.31 5.67 4.15 2.78 1.57 0.55 0.0	15.8 17.04 16.38 13.93 13.05 13.53 13.89 13.89 13.12 12.15 10.97 9.69 8.18 6.42	1.75	0
47.0 45.44 44.02 42.76 41.67 40.76 40.05 39.55 39.24 39.11 39.08	13.0 11.96 10.76 9.44 8.01 6.47 4.82 3.18 1.7 0.45 0.0	8.33 9.57 10.58 11.46 12.3 13.18 13.14 11.87 9.96 7.34	1.25	0
32.0 31.82 31.76	2.0 0.88 0.0	8.94 7.18	0.25	0
