35.0 24.88 19.52 17.78	26.0 14.48 6.94 0.0	23.05 15.08 17.55	1.5	0
23.0 22.75	1.0 0.0	10.32	0.5	0
45.0 43.48 43.46	6.0 0.08 0.0	11.85 6.94	1.0	0
24.0 19.94 18.89	12.0 4.22 0.0	15.55 16.31	1.0	0
33.0 32.5	2.0 0.0	9.08	0.5	0
21.0 10.43 6.22 5.58	28.0 14.28 2.56 0.0	27.45 23.43 17.75	1.5	0
22.0 20.75	5.0 0.0	14.93	0.5	0
47.0 35.14 27.8 24.61 23.9	28.0 19.42 9.92 2.83 0.0	17.17 19.01 14.19 10.23	2.0	0
39.0 27.21 20.47 18.24 18.22	29.0 18.15 8.82 0.1 0.0	21.7 18.65 17.44 11.11	2.0	0
21.0 11.18 7.42 6.97	26.0 13.27 1.79 0.0	25.47 22.97 16.78	1.5	0
35.0 34.5	2.0 0.0	9.41	0.5	0
21.0 19.25	7.0 0.0	16.57	0.5	0
20.0 12.18 9.6	21.0 10.3 0.0	21.41 21.81	1.0	0
29.0 24.35 22.95	13.0 5.6 0.0	14.81 12.85	1.0	0
44.0 31.39 23.7 20.48 19.83	30.0 20.44 10.3 2.59 0.0	19.12 20.28 15.43 14.93	2.0	0
26.0 25.25	3.0 0.0	9.82	0.5	0
46.0 33.74 26.17 22.83 22.05	29.0 20.04 10.25 3.11 0.0	17.92 19.58 14.29 12.89	2.0	0
24.0 13.79 9.6 8.86	27.0 13.83 2.94 0.0	26.34 21.78 17.76	1.5	0
42.0 36.44 34.01 33.64	14.0 8.24 1.48 0.0	11.51 13.51 8.49	1.5	0
26.0 20.37 18.49	15.0 7.51 0.0	14.98 17.16	1.0	0
38.0 25.77 18.74 16.44	30.0 18.91 9.2 0.0	22.18 19.43 18.51	1.5	0
33.0 26.62 24.07 23.65	17.0 8.52 1.68 0.0	16.95 13.67 9.73	1.5	0
46.0 37.07 31.88 29.98 29.84	22.0 13.71 7.04 0.55 0.0	16.57 13.34 12.98 6.38	2.0	0
